,Adword,Text,Score
0,Automotive,vehicle accident,0.5168
1,Automotive, vehicle accident,0.5168
2,Automotive,welcome to the royal automobile club,0.5100
3,Automotive,um what kind of car are you driving  porsche cayenne,0.5041
4,Automotive,so you really are a car man,0.5007
5,Automotive,mcdonald'’s or burger king hyundai or honda hmm,0.4941
6,Automotive,what do you know about cars  i know what i like,0.4916
7,Automotive, it's what's on your car wheels,0.4660
8,Automotive,it's for the truck,0.4653
9,Automotive,single vehicle accident,0.4618
10,Automotive, what are these beautiful automobiles doing  um they're for you,0.4564
11,Automotive, so i know you love the sports car stuff,0.4558
12,Automotive, what kind of cars  ah blue ones green ones,0.4527
13,Automotive, wait what what car do you drive  a tesla baby,0.4511
14,Automotive, it tami th i know it's a practical car,0.4490
15,Automotive,laughing all right boys car,0.4471
16,Automotive,engine putters it has seat belts a hole where a cigarette lighter was,0.4452
17,Automotive,ep the engine running,0.4412
18,Automotive,it's the safest part of a car,0.4410
19,Automotive,what the car accident,0.4401
20,Automotive,what the car accident,0.4401
21,Automotive,detailing up there,0.4396
22,Automotive, rearview mirror,0.4395
23,Automotive,my car could define me damn,0.4385
24,Automotive, what come on man what are you talking i'm not driving,0.4372
25,Automotive,welcome to garrity motors,0.4368
26,Automotive, vehicular accident,0.4366
27,Automotive, who drives in that i just laughing i did not understand,0.4359
28,Automotive,engine revving  uh that was a ferrari,0.4329
29,Automotive,cash cars hurting people for the fun of it,0.4309
30,Automotive, engine 51 truck 81 squad 3 ambulance 61 battalion 25,0.4306
31,Automotive,engine stops car door opens  sniffs  when are you going in  soon,0.4302
32,Automotive,revving engine  dude,0.4272
33,Automotive,the license on the car,0.4258
34,Automotive,i don't like driving in a car,0.4239
35,Automotive,tune. tune.  have you ever driven before  duh,0.4211
36,Automotive,which car and i'll watch it for you,0.4193
37,Automotive,line trilling  uh how do you operate this ing car of yours i don't understand,0.4175
38,Automotive,not in cars though,0.4154
39,Automotive, it's an armored truck,0.4148
40,Automotive, they're my cars,0.4142
41,Automotive, ishimine  yes sir  get an apb on this car,0.4141
42,Automotive,your fiance is an expert car driver,0.4124
43,Automotive,you look like you work at a auto parts store,0.4121
44,Automotive,they're in a car,0.4113
45,Automotive, the car is the new dance floor,0.4103
46,Automotive,is this your vehicle  yeah,0.4092
47,Automotive, what you been doing in here  just fixing cars sir,0.4088
48,Automotive,these  hot wheels,0.4079
49,Automotive, tune. you can buy expensive cars tune. tune. tune. gunshot  oh oh oh no oh wow,0.4076
50,Books and Literature,yo all these books,0.5964
51,Books and Literature,and what is this book about yes,0.5956
52,Books and Literature, my book of course i don't mind,0.5863
53,Books and Literature,okay so the book,0.5773
54,Books and Literature,fletcher's books,0.5681
55,Books and Literature, book club  book club,0.5654
56,Books and Literature, malcolm gladwell colson whitehead and audre lorde,0.5520
57,Books and Literature,i came across this amazing book,0.5485
58,Books and Literature,what book uh this one,0.5392
59,Books and Literature,i just found this book,0.5349
60,Books and Literature, now here's the book,0.5286
61,Books and Literature, she writes books,0.5276
62,Books and Literature,i ended up with the wrong books,0.5203
63,Books and Literature,well then how about books you beenyou been reading anything good recently  ah,0.5190
64,Books and Literature, let's start with opening the book,0.5160
65,Books and Literature,late night reading,0.5088
66,Books and Literature,i have for you this big stack of books,0.5062
67,Books and Literature,i know this book,0.5013
68,Books and Literature,you're not gonna find the answers you're looking for in that book,0.4900
69,Books and Literature, the library's gonna help you out a lot i think,0.4896
70,Books and Literature,stuff and nonsense,0.4889
71,Books and Literature,i have four days to finish thisthis book,0.4858
72,Books and Literature, well girl what kind of book this is it,0.4852
73,Books and Literature, how do you do i've read several of your books,0.4785
74,Books and Literature,maybe one of these books,0.4757
75,Books and Literature,i'll see about getting you that book,0.4746
76,Books and Literature,remember you have some reading to do,0.4743
77,Books and Literature,tune.  okay so of the approved books,0.4728
78,Books and Literature, ancient history,0.4724
79,Books and Literature,where isthe book oh,0.4706
80,Books and Literature, i write books for a living,0.4681
81,Books and Literature,which just happens to be the very same book you're reading,0.4674
82,Books and Literature,"""the book that we watched",0.4638
83,Books and Literature,but we already looked inthe book,0.4634
84,Books and Literature,and where they take place,0.4624
85,Books and Literature, anyone and everything in the world,0.4607
86,Books and Literature,where's your mother in the library,0.4593
87,Books and Literature,you know i do have text books in the budget,0.4591
88,Books and Literature,what are they advice to my readers,0.4589
89,Books and Literature,in the lives of and that love,0.4565
90,Books and Literature, what  book club,0.4563
91,Books and Literature,we never go to finish talking about our book,0.4517
92,Books and Literature,it's my book too,0.4513
93,Books and Literature, so you had to get rid of the books,0.4502
94,Books and Literature,which one oh my most recent work,0.4484
95,Books and Literature,to do what well these are books on demons,0.4457
96,Books and Literature,i started writing children's books,0.4450
97,Books and Literature,wells' english class period,0.4420
98,Books and Literature,okay so you know what just take the book and i'm done,0.4417
99,Books and Literature, what exactly comes to mind  sex drugs and rock and roll,0.4408
100,Business and Finance,i'm in finance for fuck's sake,0.6033
101,Business and Finance, oh and what business is that mr,0.5803
