,Unnamed: 0,Adword,Text,Score,Length of Sentence,Editorial Relevance,Clarity of Sentence,Tier1 Parent
0,0,Automotive,vehicle accident,0.5168,16,Y,N,Automotive
1,1,Automotive, vehicle accident,0.5168,17,Y,N,Automotive
2,2,Automotive,welcome to the royal automobile club,0.51,36,Y,Y,Automotive
3,3,Automotive,um what kind of car are you driving  porsche cayenne,0.5041,52,Y,Y,Automotive
4,4,Automotive,so you really are a car man,0.5007,27,Y,Y,Automotive
5,5,Automotive,mcdonald'â€™s or burger king hyundai or honda hmm,0.4941,47,Y,Y,Automotive
6,6,Automotive,what do you know about cars  i know what i like,0.4916,47,Y,Y,Automotive
7,7,Automotive, it's what's on your car wheels,0.466,31,Y,Y,Automotive
8,8,Automotive,it's for the truck,0.4653,18,Y,Y,Automotive
9,9,Automotive,single vehicle accident,0.4618,23,Y,N,Automotive
10,10,Automotive, what are these beautiful automobiles doing  um they're for you,0.4564,63,Y,Y,Automotive
11,11,Automotive, so i know you love the sports car stuff,0.4558,40,Y,Y,Automotive
12,12,Automotive, what kind of cars  ah blue ones green ones,0.4527,43,Y,Y,Automotive
13,13,Automotive, wait what what car do you drive  a tesla baby,0.4511,46,Y,Y,Automotive
14,14,Automotive, it tami th i know it's a practical car,0.449,39,Y,N,Automotive
15,15,Automotive,laughing all right boys car,0.4471,27,Y,Y,Automotive
16,16,Automotive,engine putters it has seat belts a hole where a cigarette lighter was,0.4452,69,Y,Y,Automotive
17,17,Automotive,ep the engine running,0.4412,21,Y,N,Automotive
18,18,Automotive,it's the safest part of a car,0.441,29,Y,Y,Automotive
19,19,Automotive,what the car accident,0.4401,21,Y,N,Automotive
20,20,Automotive,what the car accident,0.4401,21,Y,N,Automotive
21,21,Automotive,detailing up there,0.4396,18,Y,N,Automotive
22,22,Automotive, rearview mirror,0.4395,16,Y,N,Automotive
23,23,Automotive,my car could define me damn,0.4385,27,Y,Y,Automotive
24,24,Automotive, what come on man what are you talking i'm not driving,0.4372,54,Y,Y,Automotive
25,25,Automotive,welcome to garrity motors,0.4368,25,Y,Y,Automotive
26,26,Automotive, vehicular accident,0.4366,19,Y,N,Automotive
27,27,Automotive, who drives in that i just laughing i did not understand,0.4359,56,Y,Y,Automotive
28,28,Automotive,engine revving  uh that was a ferrari,0.4329,37,Y,Y,Automotive
29,29,Automotive,cash cars hurting people for the fun of it,0.4309,42,Y,Y,Automotive
30,30,Automotive, engine 51 truck 81 squad 3 ambulance 61 battalion 25,0.4306,53,Y,Y,Automotive
31,31,Automotive,engine stops car door opens  sniffs  when are you going in  soon,0.4302,64,Y,Y,Automotive
32,32,Automotive,revving engine  dude,0.4272,20,Y,N,Automotive
33,33,Automotive,the license on the car,0.4258,22,Y,Y,Automotive
34,34,Automotive,i don't like driving in a car,0.4239,29,Y,Y,Automotive
35,35,Automotive,tune. tune.  have you ever driven before  duh,0.4211,45,Y,Y,Automotive
36,36,Automotive,which car and i'll watch it for you,0.4193,35,Y,Y,Automotive
37,37,Automotive,line trilling  uh how do you operate this ing car of yours i don't understand,0.4175,77,Y,Y,Automotive
38,38,Automotive,not in cars though,0.4154,18,Y,Y,Automotive
39,39,Automotive, it's an armored truck,0.4148,22,Y,Y,Automotive
40,40,Automotive, they're my cars,0.4142,16,Y,Y,Automotive
41,41,Automotive, ishimine  yes sir  get an apb on this car,0.4141,42,Y,Y,Automotive
42,42,Automotive,your fiance is an expert car driver,0.4124,35,Y,Y,Automotive
43,43,Automotive,you look like you work at a auto parts store,0.4121,44,Y,Y,Automotive
44,44,Automotive,they're in a car,0.4113,16,Y,Y,Automotive
45,45,Automotive, the car is the new dance floor,0.4103,31,Y,Y,Automotive
46,46,Automotive,is this your vehicle  yeah,0.4092,26,Y,Y,Automotive
47,47,Automotive, what you been doing in here  just fixing cars sir,0.4088,50,Y,Y,Automotive
48,48,Automotive,these  hot wheels,0.4079,17,Y,Y,Automotive
49,49,Automotive, tune. you can buy expensive cars tune. tune. tune. gunshot  oh oh oh no oh wow,0.4076,79,Y,Y,Automotive
50,50,Books and Literature,yo all these books,0.5964,18,,,Books and Literature
51,51,Books and Literature,and what is this book about yes,0.5956,31,,,Books and Literature
52,52,Books and Literature, my book of course i don't mind,0.5863,31,,,Books and Literature
53,53,Books and Literature,okay so the book,0.5773,16,,,Books and Literature
54,54,Books and Literature,fletcher's books,0.5681,16,,,Books and Literature
55,55,Books and Literature, book club  book club,0.5654,21,,,Books and Literature
56,56,Books and Literature, malcolm gladwell colson whitehead and audre lorde,0.552,50,,,Books and Literature
57,57,Books and Literature,i came across this amazing book,0.5485,31,,,Books and Literature
58,58,Books and Literature,what book uh this one,0.5392,21,,,Books and Literature
59,59,Books and Literature,i just found this book,0.5349,22,,,Books and Literature
60,60,Books and Literature, now here's the book,0.5286,20,,,Books and Literature
61,61,Books and Literature, she writes books,0.5276,17,,,Books and Literature
62,62,Books and Literature,i ended up with the wrong books,0.5203,31,,,Books and Literature
63,63,Books and Literature,well then how about books you beenyou been reading anything good recently  ah,0.519,77,,,Books and Literature
64,64,Books and Literature, let's start with opening the book,0.516,34,,,Books and Literature
65,65,Books and Literature,late night reading,0.5088,18,,,Books and Literature
66,66,Books and Literature,i have for you this big stack of books,0.5062,38,,,Books and Literature
67,67,Books and Literature,i know this book,0.5013,16,,,Books and Literature
68,68,Books and Literature,you're not gonna find the answers you're looking for in that book,0.49,65,,,Books and Literature
