materialId,lastRunJob
GMO_00000000001216_01,FILE_MAF_20220211T201453Z_GMO_00000000001216_01
GMO_00000000001234_01,FILE_MAF_20220211T205603Z_GMO_00000000001234_01
GMO_00000000001299_01,FILE_MAF_20220211T205603Z_GMO_00000000001299_01
GMO_00000000001313_01,FILE_MAF_20220211T205601Z_GMO_00000000001313_01
GMO_00000000001471_01,FILE_MAF_20210727T231029Z_GMO_00000000001471_01
GMO_00000000001476_01,FILE_MAF_20220211T205604Z_GMO_00000000001476_01
GMO_00000000001534_01,FILE_MAF_20220211T205607Z_GMO_00000000001534_01
GMO_00000000001577_01,FILE_MAF_20210727T231031Z_GMO_00000000001577_01
GMO_00000000001585_01,FILE_MAF_20210727T231030Z_GMO_00000000001585_01
GMO_00000000001598_01,FILE_MAF_20210727T231031Z_GMO_00000000001598_01
GMO_00000000001352_01,FILE_MAF_20220211T205605Z_GMO_00000000001352_01
GMO_00000000001475_01,FILE_MAF_20210727T231028Z_GMO_00000000001475_01
GMO_00000000001580_01,FILE_MAF_20210727T231035Z_GMO_00000000001580_01
GMO_00000000001582_01,FILE_MAF_20210727T231036Z_GMO_00000000001582_01
GMO_00000000001593_01,FILE_MAF_20210727T231237Z_GMO_00000000001593_01
GMO_00000000001599_01,FILE_MAF_20210727T231241Z_GMO_00000000001599_01
GMO_00000000001604_01,FILE_MAF_20210727T231031Z_GMO_00000000001604_01
GMO_00000000001650_01,FILE_MAF_20210727T231032Z_GMO_00000000001650_01
GMO_00000000001235_01,FILE_MAF_20220211T205605Z_GMO_00000000001235_01
GMO_00000000001584_01,FILE_MAF_20210727T231030Z_GMO_00000000001584_01
GMO_00000000001592_01,FILE_MAF_20210727T231237Z_GMO_00000000001592_01
GMO_00000000001600_01,FILE_MAF_20210727T231034Z_GMO_00000000001600_01
GMO_00000000001609_01,FILE_MAF_20210727T231034Z_GMO_00000000001609_01
GMO_00000000001623_01,FILE_MAF_20210727T231243Z_GMO_00000000001623_01
GMO_00000000001636_01,FILE_MAF_20210727T231034Z_GMO_00000000001636_01
GMO_00000000001640_01,FILE_MAF_20210727T231238Z_GMO_00000000001640_01
GMO_00000000001568_01,FILE_MAF_20210727T231029Z_GMO_00000000001568_01
GMO_00000000001596_01,FILE_MAF_20210727T231033Z_GMO_00000000001596_01
